version;Dimension;Chapter;Block;SecondLevel;ThirdLevel;FourthLevel;levelno;code;parent;mlsort;leafnode;Title;Description;Inclusions;Exclusions;selected;Translated_title;Translated_description;Translated_inclusions;Translated_exclusions
ICFEN2;b;0;0;0;0;0;1;b;;1;0;BODY FUNCTIONS;"Broad ranges of percentages are provided for those cases in which calibrated assessment instruments or other standards are available to quantify the impairment in body function. For example, when ""no impairment"" or ""complete impairment"" in body function is coded, this scaling may have margin of error of up to 5%. ""Moderate impairment"" is generally up to half of the scale of total impairment. The percentages are to be calibrated in different domains with reference to population standards as percentiles. For this quantification to be used in a uniform manner, assessment procedures need to be developed through research.<br />For a further explanation of coding conventions in ICF, refer to Annex 2.";;;1;ORGANISMI FUNKTSIOONID;"Protsendimäärade lai vahemik on esitatud nende juhtumite jaoks, kui organismi funktsioonihäire ulatuse määramiseks on saadaval täpse suurusjärguga hindamisvahendid või muud standardid. Näiteks, kui organismi funktsioonide kodeerimisel märkida ""häiret ei ole"" või ""täielik häire"", võib skaala veapiir olla kuni 5%. ""Mõõdukas häire""  määratleb skaalal kuni poole  täieliku häire ulatusest. Erinevate valdkondade protsendimäärad tuleb täpses suurusjärgus esitada populatsioonistandardi protsentiilide järgi. Selle määratluse ühtseks kasutamiseks on vajalik vastavad hindamisprotseduurid teadustöö käigus välja töötada. RFK kodeerimissüsteemi täiendavad selgitused on leitavad lisast 2.";;
ICFEN2;b;1;0;0;0;0;2;b1;b;1;0;MENTAL FUNCTIONS;This chapter is about the functions of the brain: both global mental functions, such as consciousness, energy and drive, and specific mental functions, such as memory, language and calculation mental functions.;;;1;VAIMSED FUNKTSIOONID;See peatükk käsitleb aju funktsioone: nii üldisi vaimseid funktsioone (teadvus, energia ja tung) kui ka spetsiifilisi vaimseid  funktsioone (mälu-, keele- ja arvutamisfunktsioonid).;;
ICFEN2;b;1;1;0;0;0;3;b110-b139;b1;1;0;Global mental functions (b110-b139);;;;1;Üldised vaimsed funktsioonid (b110–b139);;;
ICFEN2;b;1;1;10;0;0;4;b110;b110-b139;1;0;Consciousness functions;General mental functions of the state of awareness and alertness, including the clarity and continuity of the wakeful state.;"Inclusions: functions of the state, continuity and quality of consciousness; loss of consciousness; coma, vegetative states, fugues, trance states, possession states, drug-induced altered consciousness, delirium, stupor";"Exclusions: orientation functions (b114); energy and drive functions (b130); sleep functions (b134)";1;Teadvuse funktsioonid;Üldised vaimsed funktsioonid, mis määravad teadvuse- ja ärkveloleku- e virguseseisundi, kaasa arvatud ärkveloleku selguse ja püsivuse.;"K.a teadvuse seisundit, püsivust ja kvaliteeti mõjutavad funktsioonid; teadvuse kadu, kooma, vegetatiivsed seisundid, hämarolek, transs, maaniad, ravimitest põhjustatud teadvusemuutused, deliirium, stuupor ";"V.a orienteerumisfunktsioonid (b114); vaimse energia ja tungifunktsioonid (b130); unefunktsioonid (b134)"
ICFEN2;b;1;1;10;0;0;5;b1100;b110;1;1;State of consciousness;Mental functions that when altered produce states such as clouding of consciousness, stupor or coma.;;;1;Teadvuse seisund;Vaimsed funktsioonid, mille häirumisel tekib teadvuse hägunemine, stuupor e tardumus või kooma.;;
ICFEN2;b;1;1;10;1;0;5;b1101;b110;1;1;Continuity of consciousness;Mental functions that produce sustained wakefulness, alertness and awareness and, when disrupted, may produce fugue, trance or other similar states.;;;1;Teadvuse pidevus;Vaimsed funktsioonid, mis tagavad püsiva ärkveloleku, virguse ja teadvuse selguse ning mille häirete korral võivad tekkida hämarolek, transs või muud sarnased seisundid.;;
ICFEN2;b;1;1;10;2;0;5;b1102;b110;1;1;Quality of consciousness;Mental functions that when altered effect changes in the character of wakeful, alert and aware sentience, such as druginduced altered states or delirium.;;;1;Teadvuse kvaliteet;"Vaimsed funktsioonid, mis häirumise korral kutsuvad esile ärkveloleku, virguse või teadvuse selguse muutusi, nagu näiteks ravimitest põhjustatud seisundimuutused või deliirium.
Vaimsed funktsioonid, mis tagavad virguse, teadvuse tundlikkuse, muutuse korral mõjutavad teadvuse kvaliteedi iseloomu.";;
ICFEN2;b;1;1;10;8;0;5;b1108;b110;1;1;Consciousness functions, other specified;;;;1;Teadvuse funktsioonid, teisiti täpsustatud ;;;
ICFEN2;b;1;1;10;9;0;5;b1109;b110;1;1;Consciousness functions, unspecified;;;;1;Teadvuse funktsioonid, täpsustamata;;;
ICFEN2;b;1;1;14;0;0;4;b114;b110-b139;1;0;Orientation functions;General mental functions of knowing and ascertaining one's relation to time, to place, to self, to others, to objects and to space.;"Inclusions: functions of orientation to time, place and person; orientation to self and others; disorientation to time, place and person";"Exclusions: consciousness functions (b110); attention functions (b140); memory functions (b144)";1;Orienteerumisfunktsioonid;Üldised vaimsed funktsioonid, mis on seotud aja, koha, enda ja teiste, esemete ning ümbritseva keskkonnaga.;"K.a orienteerumisfunktsioonid ajas, kohas ja isikus; orienteerumine enda isikus ja teistes; desorienteerumine ajas, kohas ja isikus";"V.a teadvuse funktsioonid (b110); tähelepanufunktsioonid (b140); mälufunktsioonid (b144)"
