Ülemkood;RfkLiik;Kood;Kirjeldus;Selgitus;KA;VA;
;B;b;ORGANISMI FUNKTSIOONID;;;;
b;B;b1;VAIMSED FUNKSIOONID;See peatükk käsitleb aju funktsioone: nii üldisi vaimseid funktsioone nagu teadvus,energia ja tung, kui ka spetsiifilisi vaimseid  funktsioone nagu mälu-, keele- ja arvutamisfunktsioonid.;;;
b1;B;b110-b139;Üldised vaimsed funktsioonid;;;;
b110-b139;B;b110;Teadvuse funktsioonid;Üldised vaimsed funktsioonid, mis määravad teadvuse ja virguse, k.a ärkveloleku selguse ja püsivuse.;"K.a: teadvuse seisundit, püsivust ja kvaliteeti mõjutavad funktsioonid; teadvusetus, kooma, vegetatiivsed seisundid, hämarolek, transs, maaniad, ravimitest põhjustatud teadvusemuutused, deliirium, stuupor ";"V.a: orienteerumisfunktsioonid (b114); vaimse energia ja tungifunktsioonid (b130); unefunktsioonid (b134)";
b110-b139;B;b1100;Teadvuse seisund;Vaimsed funktsioonid, mille häirumisel tekib teadvuse hämardumine, stuupor või kooma.;;;
b110-b139;B;b1101;Teadvuse pidevus;Vaimsed funktsioonid, mis tagavad ärkveloleku, virguse ja teadvuse selguse ning mille häirete korral võivad tekkida hämarolek, transs või muud sarnased seisundid.;;;
b110-b139;B;b1102;Teadvuse kvaliteet;Vaimsed funktsioonid, mis häirumise korral kutsuvad esile ärkveloleku, virguse või teadvuse selguse muutusi, nagu ravimitest põhjustatud seisundimuutused või deliirium.;;;
b110-b139;B;b1108;TT teadvuse funktsioonid;;;;
b110-b139;B;b1109;Tta teadvuse funktsioonid;;;;
b110-b139;B;b114;Orienteerumisfunktsioonid;Üldised vaimsed funktsioonid, mis määravad eneseteadvuse ja suhtumise endasse, teistesse, aega ning ümbritsevasse.;"K.a: Orienteerumisfunktsioonid ajas, kohas ja isikus; orienteerumine enda isikus ja teistes; desorienteerumine ajas, kohas ja isikus";"V.a: teadvuse funktsioonid (b110); tähelepanufunktsioonid (b140); mälufunktsioonid (b144)";
b110-b139;B;b1140;Orienteerumine ajas;Vaimsed funktsioonid, mis tagavad ajataju, nagu nädalapäeva, kuupäeva, kuu ja aasta teadvustamise.;;;
b110-b139;B;b1141;Orienteerumine kohas;Vaimsed funktsioonid, mis tagavad kohataju, nt oma vahetu ümbruse, linna või maa teadvustamise.;;;
b110-b139;B;b1142;Orienteerumine inimestes;Vaimsed funktsioonid, mis tagavad isiku enda identiteedi ja tema vahetus ümbruses olevate isikute identiteedi teadvustamise.;;;
b110-b139;B;b11420;Orienteerumine endas;Vaimsed funktsioonid, mis tagavad iseenda identiteedi teadvustamise.;;;
b110-b139;B;b11421;Orienteeerumine teistes;Vaimsed funktsioonid, mis tagavad lähimas ümbruses olevate teiste inimeste identiteedi teadvustamise .;;;
b110-b139;B;b11428;TT orienteerumine inimestes;;;;
b110-b139;B;b11429;Tta orienteerumine inimestes;;;;
b110-b139;B;b1148;TT orienteerumisfunktsioonid;;;;
b110-b139;B;b1149;Tta orienteerumisfunktsioonid;;;;
b110-b139;B;b117;Intellektuaalsed funktsioonid;Üldised vaimsed funktsioonid, mis on vajalikud, et mõista ja konstruktiivselt seostada mitmesuguseid vaimseid talitlusi, kaasa arvatud kõiki tunnetusfunktsioone ja nende arengut eluaja jooksul.;"K.a: intellektuaalse arengu funktsioonid; intellektuaalne arengupeetus, vaimne arengupeetus, dementsus";"V.a: mälufunktsioonid (b144); mõtlemise funktsioonid (b160); kõrgemad kognitiivsed funktsioonid (b164)";
b110-b139;B;b122;Üldised psühhosotsiaalsed funktsioonid;Elu jooksul väljakujunevad üldised vaimsed  funktsioonid, et mõista ja konstruktiivselt seostada vaimseid funktsioone, mis võimaldavad vastastikuseks sotsiaalseks tegevuseks vajalike isikutevaheliste oskuste väljakujunemist nii sisu kui ka eesmärgi mõttes.;K.a: selllised puuded, nagu autismi puhul;;
b110-b139;B;b126;Temperamendi ja isiksuse funktsioonid;Üldised vaimsed funktsioonid, mis avalduvad indiviidi reageerimises olukordadele temale omasel viisil, tulenevalt konstitutsionaalsest eelsoodumusest, kaasa arvatud vaimsete tunnuste kogum, mis teeb indiviidi teistest erinevaks.;"K.a: ekstravertsuse, introvertsuse, koostöövõime, kohusetundlikkuse, psüühilise ja emotsionaalse stabiilsuse ning kogemustele avatusega seotud funktsioonid; optimism; uudsuseotsing; enesekindlus ja usaldusväärsus";"V.a: intellektuaalsed funktsioonid (b117); vaimse energia ja tungifunktsioonid (b130); psühhomotoorsed funktsioonid (b147); emotsioonide funktsioonid (b152)";
b110-b139;B;b1260;Ekstravertsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla aval, suhtlemisaldis ja ilmekas, mitte aga kinnine, vaoshoitud ega pärsitud.;;;
b110-b139;B;b1261;Koostöövõimelisus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla koostööaldis, sõbralik ja kohanev, mitte aga ebasõbralik, trotsiv ega tõrges.;;;
b110-b139;B;b1262;Kohusetundlikkus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla töökas, järjekindel ja hoolikas, vastandina neile vaimsetele funktsioonidele, mis loovad inimeses eelsoodumuse olla laisk, ebausaldusväärne ja vastutustundetu.;;;
b110-b139;B;b1263;Psüühiline stabiilsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla tasakaalukas, vaikne ja rahulik, mitte aga ärritatud, murelik, ettearvamatu ega tujukas.;;;
b110-b139;B;b1264;Kogemustele avatus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla uudishimulik, kujutlusvõimega, teadmishimuline ja elamusi otsiv, mitte aga huvideta, tähelepanematu ega emotsionaalselt väljendusvõimetu.;;;
b110-b139;B;b1265;Optimism;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla elurõõmus, lõbus ja lootusrikas, mitte aga raskemeelne, sünge ega lootusetu.;;;
b110-b139;B;b1266;Enesekindlus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla otsustusvõimeline, julge ja läbilöögivõimeline, mitte aga arglik, ebakindel ega liiga tagasihoidlik.;;;
b110-b139;B;b1267;Usaldusväärsus;Vaimsed funktsioonid, mis loovad inimeses eelsoodumuse olla usaldatav ja põhimõttekindel, mitte aga valelik ega ebasotsiaalne.;;;
b110-b139;B;b1268;TT temperamendi ja isiksuse funktsioonid;;;;
b110-b139;B;b1269;Tta temperamendi ja isiksuse funktsioonid;;;;
b110-b139;B;b130;Vaimse energia ja tungifunktsioonid;Füsioloogiliste ja psühholoogiliste mehhanismide üldised vaimsed funktsioonid, mis põhjustavad indiviidi pideva püüdlemise põhi- ja erivajaduste rahuldamise poole.;K.a: vaimse energia taseme, motivatsiooni, isu, himu (k.a himu ainete väärtarvitamise järele) ja impulsside kontrollimise funktsioonid;"V.a: teadvuse funktsioonid (b110); temperamendi ja isiksuse funktsioonid (b126); unefunktsioonid (b134); psühhomotoorsed funktsioonid (b147); emotsioonide funktsioonid (b152)";
b110-b139;B;b1300;Vaimse energia tase;Vaimsed funktsioonid, mis määravad elujõu ja vastupidavuse.;;;
b110-b139;B;b1301;Motivatsioon;"Vaimsed funktsioonid, mis innustavad tegutsema; teadvustatud või teadvustamata tegutsemistung.";;;
